customer_id,cart_id,cart_items,total
11d419f6-714a-445c-b75d-7488d450d472,01KNQH9YZRET257HDX64F8FHBE,[],0.0
a8fa0224-0ca6-4803-b6b7-5a79befcb884,01KNQVGJFD90KE3WPAXY2K1N0G,[],0.0
6eea4f02-1655-477c-88e7-a7ac13c80d92,01KNQVZ0QH4RKKR8SBSB9E5ZX2,[],0.0
7c343a3c-c9a2-4869-ab8e-c8904ff88a5e,01KNQY3G6X40AD49M0VD8BJ9RJ,[],0.0
d549ad03-7104-4d76-8910-303f6607badf,01KNQY94TH98MBNX1D73N3KM5Q,[],0.0
019cac5c-b0d5-432d-97fb-78d3956a886e,01KNQYET4R894VSGG5S1274KSH,[],0.0
037c9c77-6d34-4f44-a43e-66657ca6eef1,01KNQYJRC12FYMK84Q5D0PZ2PD,[],0.0
eeeba2f5-3659-4b76-a70a-2ca2d9f35a4a,01KNQZ4864KSG2CW575Z7EPF2C,[],0.0
bee9b066-2059-4e2d-93f5-06c9550b40ed,01KNR0BK7WAS4SVYKKV7434CC0,[],0.0
4fdbc2b4-a11b-4273-b05f-0c3864cca94e,01KNR2JZ8QG41M3T7YN0VFRMAQ,[],0.0
