food_item_id,food_name,order_count
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,3
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,11
1,Basic Pizza,13
1,Basic Pizza,13
1,Basic Pizza,13
1,Basic Pizza,13
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
1,Basic Pizza,14
