inventory_id,food_item_id,quantity
10,2,102
1,3,1
1,3,7
11,1,198
12,103,20
13,103,20
14,103,20
15,103,20
16,103,20
17,103,20
18,103,20
19,103,20
20,103,20
21,103,20
22,103,20
23,103,20
24,103,20
25,103,20
26,103,20
27,103,20
28,103,20
29,103,20
30,103,20
31,103,20
32,103,20
33,103,20
34,103,20
35,103,20
36,103,20
37,103,20
38,103,20
39,103,20
40,103,20
41,103,20
42,103,20
42,4,0
43,5,0
44,103,20
45,103,20
46,103,20
47,103,20
48,103,20
49,103,20
50,103,20
51,103,20
52,103,20
53,103,20
54,103,20
55,103,20
56,103,20
57,103,20
58,103,20
59,103,20
60,103,20
61,103,20
62,103,20
63,103,20
64,103,20
65,103,20
66,103,20
67,103,20
68,103,20
69,103,20
70,103,20
71,103,20
72,103,20
73,103,20
74,103,20
75,103,20
76,103,20
77,103,20
78,103,20
79,103,20
80,103,20
81,103,20
82,103,20
83,103,20
84,103,20
85,103,20
86,103,20
87,103,20
88,103,20
89,103,20
90,103,20
91,103,20
92,103,20
